index,label,datasetname,timepoint,sample_id,library_id,total_sequenced_cells,cells_post_qc,cells_post_mouse_filter,cells_post_jump,median_nreads_per_cell,std_nreads_per_cell,median_coverage_depth,std_coverage_depth,median_coverage_breadth,std_coverage_breadth,median_quality,std_quality
1,p53 WT,SA039U,X25,SA039,A73044B,2057,1406,,1029,777218,417647.9774,0.022632,0.011990308,0.021854948,0.011486804,0.99,0.366439248
2,p53 WT,SA039U,X51,SA039,A73047D,2061,1278,1948,779,1958313,1508624.384,0.055046,0.039884552,0.05235946,0.036660802,0.992,0.421233987
3,p53 WT,SA039U,X30,SA039,A96199B,1135,739,1088,593,1647575,774097.9986,0.044433,0.021394748,0.042468984,0.020080528,0.998,0.356896353
4,p53 WT,SA039U,X60,SA039,A96226B,1142,636,1060,312,1510435.5,527454.9333,0.03832,0.013676672,0.036675766,0.012889332,0.906,0.325561429
5,p53-/- a,SA906a,X57,SA906,A96146A,1159,736,1111,446,778492,407655.9113,0.017941,0.009600227,0.017399522,0.009130803,0.912,0.339219307
6,p53-/- b,SA906b,X55,SA906,A96149B,1738,766,1738,338,885344,423097.6368,0.0203575,0.010689091,0.019610479,0.010154008,0.554,0.346412794
7,p53-/- b,SA906b,X40,SA906,A96155B,1000,750,944,563,1808172.5,819966.8671,0.05246,0.022603421,0.050121964,0.021058508,1,0.322063669
8,p53-/- b,SA906b,X35,SA906,A96172B,1644,1370,1644,1198,986087.5,411154.2583,0.0264375,0.011113872,0.025462631,0.010578279,1,0.275762314
9,p53-/- a,SA906a,X30,SA906,A96175C,1441,811,1388,690,1272484,707165.72,0.032205,0.01817914,0.030923355,0.017137359,0.946,0.348366418
10,p53-/- a,SA906a,X10,SA906,A96180B,1157,974,1157,823,1253727,676414.9098,0.032771,0.017410032,0.031536835,0.016548846,1,0.266900518
11,p53-/- a,SA906a,X40,SA906,A96183C,1009,472,959,396,1940852,782941.3386,0.058485,0.023809204,0.055340992,0.022155036,0.546,0.354683434
12,p53-/- a,SA906a,X50,SA906,A96186A,824,535,766,389,1696219.5,675788.5154,0.0430575,0.016994771,0.041157293,0.01590459,0.964,0.293322196
13,p53-/- a,SA906a,X15,SA906,A96210C,1167,892,1103,767,1557292,629063.1009,0.03998,0.017911167,0.038352751,0.016823351,1,0.314565967
14,p53-/- b,SA906b,X30,SA906,A96211C,1355,1084,1304,949,1290214,473418.6377,0.035025,0.013424627,0.033620972,0.012659957,1,0.304420409
15,p53-/- b,SA906b,X20,SA906,A96215A,1274,1065,1257,917,1385634.5,517363.5865,0.0354395,0.014698561,0.034007351,0.013762211,1,0.272431712
16,p53-/- a,SA906a,X25,SA906,A96216A,728,329,648,212,273678.5,179773.863,0.005736,0.003753716,0.005621491,0.003637618,0.592,0.372228394
17,p53-/- b,SA906b,X45,SA906,A96220B,1231,852,1134,602,704050,277301.4853,0.015339,0.006615088,0.014855877,0.006348473,0.988,0.330359185
18,p53-/- b,SA906b,X50,SA906,A96228B,1068,742,1068,548,1237711.5,531436.944,0.024572,0.013546022,0.023529197,0.012818202,0.984,0.275427846
19,Cellline Mixture b,SA906bMix2,X0,SA039Mx2SA906b0,A98254A,1107,682,,174,656170,357050.3484,0.019746,0.010477789,0.019132571,0.010057677,0.974,0.375244593
20,Cellline Mixture b,SA906bMix2,X1,SA039Mx2SA906b1,A98172A,871,636,,123,889407,315697.6549,0.024249,0.00877807,0.02349082,0.008402092,1,0.332955208
