V1,single_cell_id,letters,datatag,sample_id
1,SA609X5XB03230-A98289B-R41-C63,A,SA000,SA609X5XB03230
2,SA609X5XB03230-A98289B-R46-C55,A,SA000,SA609X5XB03230
3,SA609X5XB03230-A98289B-R48-C14,A,SA000,SA609X5XB03230
4,SA609X5XB03230-A98289B-R48-C70,A,SA000,SA609X5XB03230
5,SA609X5XB03230-A98289B-R49-C27,A,SA000,SA609X5XB03230
6,SA609X5XB03230-A98289B-R49-C30,A,SA000,SA609X5XB03230
7,SA609X5XB03230-A98289B-R51-C08,A,SA000,SA609X5XB03230
8,SA609X5XB03230-A98289B-R54-C10,A,SA000,SA609X5XB03230
9,SA609X5XB03230-A98289B-R54-C25,A,SA000,SA609X5XB03230
10,SA609X5XB03230-A98289B-R54-C67,A,SA000,SA609X5XB03230
11,SA609X5XB03230-A98289B-R55-C13,A,SA000,SA609X5XB03230
12,SA609X5XB03230-A98289B-R57-C56,A,SA000,SA609X5XB03230
13,SA609X5XB03230-A98289B-R58-C21,A,SA000,SA609X5XB03230
14,SA609X5XB03230-A98289B-R58-C26,A,SA000,SA609X5XB03230
15,SA609X5XB03230-A98289B-R59-C19,A,SA000,SA609X5XB03230
16,SA609X6XB03404-A98284A-R03-C44,A,SA000,SA609X6XB03404
17,SA609X6XB03404-A98284A-R03-C54,A,SA000,SA609X6XB03404
18,SA609X6XB03404-A98284A-R04-C15,A,SA000,SA609X6XB03404
19,SA609X6XB03404-A98284A-R04-C44,A,SA000,SA609X6XB03404
20,SA609X6XB03404-A98284A-R05-C40,A,SA000,SA609X6XB03404
21,SA609X6XB03404-A98284A-R11-C22,A,SA000,SA609X6XB03404
22,SA609X6XB03404-A98284A-R11-C70,A,SA000,SA609X6XB03404
23,SA609X6XB03404-A98284A-R12-C08,A,SA000,SA609X6XB03404
24,SA609X6XB03404-A98284A-R13-C22,A,SA000,SA609X6XB03404
25,SA609X6XB03404-A98284A-R14-C68,A,SA000,SA609X6XB03404
26,SA609X6XB03404-A98284A-R14-C70,A,SA000,SA609X6XB03404
27,SA609X6XB03404-A98284A-R15-C30,A,SA000,SA609X6XB03404
28,SA609X6XB03404-A98284A-R16-C25,A,SA000,SA609X6XB03404
29,SA609X6XB03404-A98284A-R20-C08,A,SA000,SA609X6XB03404
30,SA609X6XB03404-A98284A-R20-C23,A,SA000,SA609X6XB03404
31,SA609X5XB03230-A98289B-R41-C42,A,SA000,SA609X5XB03230
32,SA609X5XB03230-A98289B-R41-C56,A,SA000,SA609X5XB03230
33,SA609X5XB03230-A98289B-R41-C60,A,SA000,SA609X5XB03230
34,SA609X5XB03230-A98289B-R42-C43,A,SA000,SA609X5XB03230
35,SA609X5XB03230-A98289B-R43-C24,A,SA000,SA609X5XB03230
