"single_cell_id" "letters" "datatag"
"1" "SA609X5XB03230-A98289B-R41-C63" "A" "SA000"
"2" "SA609X5XB03230-A98289B-R46-C55" "A" "SA000"
"3" "SA609X5XB03230-A98289B-R48-C14" "A" "SA000"
"4" "SA609X5XB03230-A98289B-R48-C70" "A" "SA000"
"5" "SA609X5XB03230-A98289B-R49-C27" "A" "SA000"
"6" "SA609X5XB03230-A98289B-R49-C30" "A" "SA000"
"7" "SA609X5XB03230-A98289B-R51-C08" "A" "SA000"
"8" "SA609X5XB03230-A98289B-R54-C10" "A" "SA000"
"9" "SA609X5XB03230-A98289B-R54-C25" "A" "SA000"
"10" "SA609X5XB03230-A98289B-R54-C67" "A" "SA000"
"11" "SA609X5XB03230-A98289B-R55-C13" "A" "SA000"
"12" "SA609X5XB03230-A98289B-R57-C56" "A" "SA000"
"13" "SA609X5XB03230-A98289B-R58-C21" "A" "SA000"
"14" "SA609X5XB03230-A98289B-R58-C26" "A" "SA000"
"15" "SA609X5XB03230-A98289B-R59-C19" "A" "SA000"
"16" "SA609X6XB03404-A98284A-R03-C44" "A" "SA000"
"17" "SA609X6XB03404-A98284A-R03-C54" "A" "SA000"
"18" "SA609X6XB03404-A98284A-R04-C15" "A" "SA000"
"19" "SA609X6XB03404-A98284A-R04-C44" "A" "SA000"
"20" "SA609X6XB03404-A98284A-R05-C40" "A" "SA000"
"21" "SA609X6XB03404-A98284A-R11-C22" "A" "SA000"
"22" "SA609X6XB03404-A98284A-R11-C70" "A" "SA000"
"23" "SA609X6XB03404-A98284A-R12-C08" "A" "SA000"
"24" "SA609X6XB03404-A98284A-R13-C22" "A" "SA000"
"25" "SA609X6XB03404-A98284A-R14-C68" "A" "SA000"
"26" "SA609X6XB03404-A98284A-R14-C70" "A" "SA000"
"27" "SA609X6XB03404-A98284A-R15-C30" "A" "SA000"
"28" "SA609X6XB03404-A98284A-R16-C25" "A" "SA000"
"29" "SA609X6XB03404-A98284A-R20-C08" "A" "SA000"
"30" "SA609X6XB03404-A98284A-R20-C23" "A" "SA000"
"31" "SA609X5XB03230-A98289B-R41-C42" "A" "SA000"
"32" "SA609X5XB03230-A98289B-R41-C56" "A" "SA000"
"33" "SA609X5XB03230-A98289B-R41-C60" "A" "SA000"
"34" "SA609X5XB03230-A98289B-R42-C43" "A" "SA000"
"35" "SA609X5XB03230-A98289B-R43-C24" "A" "SA000"
"36" "SA609X5XB03230-A98289B-R45-C16" "A" "SA000"
"37" "SA609X5XB03230-A98289B-R47-C39" "A" "SA000"
"38" "SA609X5XB03230-A98289B-R47-C70" "A" "SA000"
"39" "SA609X5XB03230-A98289B-R48-C24" "A" "SA000"
"40" "SA609X5XB03230-A98289B-R48-C55" "A" "SA000"
"41" "SA609X5XB03230-A98289B-R48-C56" "A" "SA000"
"42" "SA609X5XB03230-A98289B-R49-C59" "A" "SA000"
"43" "SA609X5XB03230-A98289B-R50-C08" "A" "SA000"
"44" "SA609X5XB03230-A98289B-R50-C44" "A" "SA000"
"45" "SA609X5XB03230-A98289B-R54-C24" "A" "SA000"
"46" "SA609X5XB03230-A98289B-R54-C59" "A" "SA000"
"47" "SA609X5XB03230-A98289B-R55-C12" "A" "SA000"
"48" "SA609X5XB03230-A98289B-R55-C25" "A" "SA000"
"49" "SA609X5XB03230-A98289B-R55-C28" "A" "SA000"
"50" "SA609X5XB03230-A98289B-R57-C35" "A" "SA000"
"51" "SA609X6XB03404-A98284A-R04-C52" "A" "SA000"
"52" "SA609X6XB03404-A98284A-R05-C12" "A" "SA000"
"53" "SA609X6XB03404-A98284A-R05-C17" "A" "SA000"
"54" "SA609X6XB03404-A98284A-R08-C12" "A" "SA000"
"55" "SA609X6XB03404-A98284A-R09-C16" "A" "SA000"
"56" "SA609X6XB03404-A98284A-R09-C63" "A" "SA000"
"57" "SA609X6XB03404-A98284A-R10-C49" "A" "SA000"
"58" "SA609X6XB03404-A98284A-R14-C32" "A" "SA000"
"59" "SA609X6XB03404-A98284A-R16-C68" "A" "SA000"
"60" "SA609X6XB03404-A98284A-R17-C33" "A" "SA000"
"61" "SA609X5XB03230-A98289B-R41-C40" "A" "SA000"
"62" "SA609X5XB03230-A98289B-R41-C47" "A" "SA000"
"63" "SA609X5XB03230-A98289B-R42-C17" "A" "SA000"
"64" "SA609X5XB03230-A98289B-R42-C19" "A" "SA000"
"65" "SA609X5XB03230-A98289B-R42-C30" "A" "SA000"
"66" "SA609X5XB03230-A98289B-R42-C37" "A" "SA000"
"67" "SA609X5XB03230-A98289B-R43-C09" "A" "SA000"
"68" "SA609X5XB03230-A98289B-R43-C11" "A" "SA000"
"69" "SA609X5XB03230-A98289B-R44-C63" "A" "SA000"
"70" "SA609X5XB03230-A98289B-R44-C65" "A" "SA000"
"71" "SA609X5XB03230-A98289B-R44-C66" "A" "SA000"
"72" "SA609X5XB03230-A98289B-R45-C34" "A" "SA000"
"73" "SA609X5XB03230-A98289B-R46-C28" "A" "SA000"
"74" "SA609X5XB03230-A98289B-R46-C64" "A" "SA000"
"75" "SA609X5XB03230-A98289B-R48-C47" "A" "SA000"
"76" "SA609X5XB03230-A98289B-R48-C68" "A" "SA000"
"77" "SA609X5XB03230-A98289B-R49-C24" "A" "SA000"
"78" "SA609X5XB03230-A98289B-R50-C14" "A" "SA000"
"79" "SA609X5XB03230-A98289B-R50-C43" "A" "SA000"
"80" "SA609X5XB03230-A98289B-R50-C63" "A" "SA000"
"81" "SA609X5XB03230-A98289B-R53-C10" "A" "SA000"
"82" "SA609X5XB03230-A98289B-R54-C60" "A" "SA000"
"83" "SA609X5XB03230-A98289B-R56-C57" "A" "SA000"
"84" "SA609X5XB03230-A98289B-R56-C65" "A" "SA000"
"85" "SA609X5XB03230-A98289B-R58-C11" "A" "SA000"
"86" "SA609X5XB03230-A98289B-R59-C41" "A" "SA000"
"87" "SA609X6XB03404-A98284A-R03-C55" "A" "SA000"
"88" "SA609X6XB03404-A98284A-R03-C56" "A" "SA000"
"89" "SA609X6XB03404-A98284A-R06-C24" "A" "SA000"
"90" "SA609X6XB03404-A98284A-R07-C37" "A" "SA000"
"91" "SA609X6XB03404-A98284A-R07-C56" "A" "SA000"
"92" "SA609X6XB03404-A98284A-R08-C67" "A" "SA000"
"93" "SA609X6XB03404-A98284A-R11-C09" "A" "SA000"
"94" "SA609X6XB03404-A98284A-R12-C11" "A" "SA000"
"95" "SA609X6XB03404-A98284A-R12-C17" "A" "SA000"
