datatag	sample_id	library_id	pseudobulk	aln_jira_ticket	aln_lane_complete	aln_lane_set	mem_jira_ticket	mem_lane_complete	mem_lane_set	aln_version	aln_cell_count	mem_version	mem_cell_count
SA532	SA532X1XB00118	A96157C	included	SC-3144	TRUE	H3NMGCCX2_4,HT7F7CCXY_6	SC-3041	TRUE	H3NMGCCX2_4,HT7F7CCXY_6	v0.5.2	938	v0.6.18	938
SA532	SA532X2XB00147	A90679	included	SC-1335	TRUE	CB643ANXX_5	SC-2570	TRUE	CB643ANXX_5	v0.0.0		v0.3.1	1034
SA532	SA532X2XB00147	A96165A	included	SC-1339	TRUE	HFJCGCCXY_6,HMFCYCCXY_1	SC-2571	TRUE	HFJCGCCXY_6,HMFCYCCXY_1	v0.0.0		v0.3.1	779
SA532	SA532X3XB00210	A96179B	included	SC-1341	TRUE	HNK3WCCXY_1	SC-2572	TRUE	HNK3WCCXY_1	v0.0.0		v0.3.1	1396
SA532	SA532X3XB00210	A96186C	included	SC-3145	TRUE	H3NMGCCX2_3,HNK3WCCXY_8	SC-3033	TRUE	H3NMGCCX2_3,HNK3WCCXY_8	v0.5.2	525	v0.3.1	525
SA532	SA532X4XB00273	A95732B	included	SC-1343	TRUE	HGCV2CCXY_8,HMFCYCCXY_5	SC-2574	TRUE	HGCV2CCXY_8,HMFCYCCXY_5	v0.0.0		v0.3.1	655
SA532	SA532X5XB00478	A96174B	included	SC-1345	TRUE	HHCJ7CCXY_7,HMW52CCXY_6	SC-2575	TRUE	HHCJ7CCXY_7,HMW52CCXY_6	v0.0.0		v0.3.1	1447
SA532	SA532X6XB00768	A96130B	included	SC-1347	TRUE	HLLL5CCXY_3,HMW52CCXY_8	SC-2576	TRUE	HLLL5CCXY_3,HMW52CCXY_8	v0.0.0		v0.3.1	1267
SA532	SA532X6XB00768	A95703A	included	SC-2216	TRUE	AHKY27AFXY_1,AHKY27AFXY_2,AHKY27AFXY_3,AHKY27AFXY_4	SC-3183	TRUE	AHKY27AFXY_1,AHKY27AFXY_2,AHKY27AFXY_3,AHKY27AFXY_4	v0.2.20		v0.5.3	740
SA532	SA532X7XB01216	A96177B	included	SC-1348	TRUE	HHCJ7CCXY_8,HMFLCCCXY_6	SC-2577	TRUE	HHCJ7CCXY_8,HMFLCCCXY_6	v0.0.0		v0.3.1	683
SA532	SA532X8XB01398	A96145A	included	SC-1350	TRUE	HFJCGCCXY_7,HMFCYCCXY_2	SC-2578	TRUE	HFJCGCCXY_7,HMFCYCCXY_2	v0.0.0		v0.3.1	642
SA532	SA532X9XB02755	A96162B	included	SC-3146	TRUE	H3NMGCCX2_6,HT773CCXY_6	SC-3055	TRUE	H3NMGCCX2_6,HT773CCXY_6	v0.5.2	1316	v0.3.1	1316
SA532	SA532X10XB02956	A95629A	included	SC-1845	TRUE	HWJKTCCXY_7	SC-2580	TRUE	HWJKTCCXY_7	v0.2.7		v0.3.1	1023
SA532	SA532X10XB02956	A95633B	included	SC-2469	FALSE	AHT5LYBGXB_1,AHT5LYBGXB_2,AHT5LYBGXB_3,AHT5LYBGXB_4	SC-3406	TRUE	AHFKYHBGXC_1,AHFKYHBGXC_2,AHFKYHBGXC_3,AHFKYHBGXC_4,AHT5LYBGXB_1,AHT5LYBGXB_2,AHT5LYBGXB_3,AHT5LYBGXB_4	v0.2.25	1139	v0.5.14	2259
