labels,datasetname,clone_name,timepoint,fraction,ncells,mean_1_plus_s,median_1_plus_s,sd_1_plus_s,S
WGS-bulk-TNBC,SA501,A,X0,0.135012572,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X0,0.004085848,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X0,0.818965517,,1,1,0,
WGS-bulk-TNBC,SA501,D,X0,0.000134698,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X0,0.022494612,,1.028967607,1.028199672,0.011507176,
WGS-bulk-TNBC,SA501,A,X1,0.145070043,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X1,0.158899066,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X1,0.513649425,,1,1,0,
WGS-bulk-TNBC,SA501,D,X1,0.146686422,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X1,0.041172773,,1.028967607,1.028199672,0.011507176,
WGS-bulk-TNBC,SA501,A,X2,0.424883261,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X2,0.041801365,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X2,0.228807471,,1,1,0,
WGS-bulk-TNBC,SA501,D,X2,0.255163434,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X2,0.003816451,,1.028967607,1.028199672,0.011507176,
WGS-bulk-TNBC,SA501,A,X3,0.074533046,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X3,0.142241379,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X3,0.261314655,,1,1,0,
WGS-bulk-TNBC,SA501,D,X3,0.350933908,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X3,0.116199713,,1.028967607,1.028199672,0.011507176,
WGS-bulk-TNBC,SA501,A,X4,0.006779813,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X4,0.062455101,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X4,0.01795977,,1,1,0,
WGS-bulk-TNBC,SA501,D,X4,0.024559986,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X4,0.869118175,,1.028967607,1.028199672,0.011507176,
WGS-bulk-TNBC,SA501,A,X5,0.008845187,,1.001553316,1.001586449,0.006118962,
WGS-bulk-TNBC,SA501,B,X5,0.011359555,,1.005295267,1.005148752,0.007753295,
WGS-bulk-TNBC,SA501,C,X5,0.017061782,,1,1,0,
WGS-bulk-TNBC,SA501,D,X5,0.014951509,,1.004356637,1.004296787,0.006336013,
WGS-bulk-TNBC,SA501,E,X5,0.942483836,,1.028967607,1.028199672,0.011507176,
p53 WT,SA039U,A,X25,0.002915452,3,0.921697006,0.921259645,0.234819309,
p53 WT,SA039U,A,X51,0.002567394,2,0.921697006,0.921259645,0.234819309,
p53 WT,SA039U,B,X25,0.007774538,8,0.89993976,0.916028457,0.181161666,
p53 WT,SA039U,B,X30,0.010118044,6,0.89993976,0.916028457,0.181161666,
p53 WT,SA039U,B,X51,0.016688062,13,0.89993976,0.916028457,0.181161666,
p53 WT,SA039U,B,X60,0.003205128,1,0.89993976,0.916028457,0.181161666,
p53 WT,SA039U,C,X25,0.002915452,3,0.931657517,0.918455827,0.247841924,
p53 WT,SA039U,C,X30,0.006745363,4,0.931657517,0.918455827,0.247841924,
p53 WT,SA039U,C,X51,0.001283697,1,0.931657517,0.918455827,0.247841924,
p53 WT,SA039U,D,X25,0.021379981,22,1.031324563,1.030410587,0.013323918,
p53 WT,SA039U,D,X30,0.02529511,15,1.031324563,1.030410587,0.013323918,
p53 WT,SA039U,D,X51,0.299101412,233,1.031324563,1.030410587,0.013323918,
p53 WT,SA039U,D,X60,0.330128205,103,1.031324563,1.030410587,0.013323918,
p53 WT,SA039U,E,X25,0.000971817,1,1.039747065,1.039247382,0.019353708,
p53 WT,SA039U,E,X30,0.001686341,1,1.039747065,1.039247382,0.019353708,
p53 WT,SA039U,E,X51,0.318356868,248,1.039747065,1.039247382,0.019353708,
p53 WT,SA039U,E,X60,0.541666667,169,1.039747065,1.039247382,0.019353708,
p53 WT,SA039U,F,X25,0.96404276,992,1,1,0,
p53 WT,SA039U,F,X30,0.956155143,567,1,1,0,
p53 WT,SA039U,F,X51,0.362002567,282,1,1,0,
p53 WT,SA039U,F,X60,0.125,39,1,1,0,
p53-/- a,SA906a,A,X15,0.001364256,1,1.049576852,1.073545034,0.087388146,
p53-/- a,SA906a,A,X30,0.001862197,1,1.049576852,1.073545034,0.087388146,
p53-/- a,SA906a,A,X40,0.075709779,24,1.049576852,1.073545034,0.087388146,
p53-/- a,SA906a,A,X50,0.3374613,109,1.049576852,1.073545034,0.087388146,
p53-/- a,SA906a,A,X57,0.572890026,224,1.049576852,1.073545034,0.087388146,
