"","Passage","Tumor.transplant.Date","Tumor.harvest.date","datatag","extraction_attempt","volume","extraction_date","extration_day"
"1","X2",2013-11-06,2014-01-16,"SA609","Volume.1",1,2013-12-18,0
"2","X3",2016-12-21,2017-03-07,"SA609","Volume.1",1,2017-02-09,0
"3","X4",2017-03-07,2017-05-05,"SA609","Volume.1",1,2017-04-04,0
"4","X5",2017-05-05,2017-06-26,"SA609","Volume.1",1,2017-05-24,0
"5","X6",2017-06-26,2017-08-07,"SA609","Volume.1",1,2017-07-17,0
"6","X7",2017-11-23,2018-01-11,"SA609","Volume.1",1,2017-12-24,0
"7","X8",2018-01-11,2018-02-07,"SA609","Volume.1",1,2018-01-25,0
"8","X9",2018-02-07,2018-03-08,"SA609","Volume.1",1,2018-02-21,0
"9","X10",2018-03-08,2018-04-04,"SA609","Volume.1",1,2018-03-22,0
"10","X2",2013-11-06,2014-01-16,"SA609","Volume.2",216.6,2014-01-03,16
"11","X3",2016-12-21,2017-03-07,"SA609","Volume.2",267.6,2017-02-20,11
"12","X4",2017-03-07,2017-05-05,"SA609","Volume.2",101.2,2017-04-12,8
"13","X5",2017-05-05,2017-06-26,"SA609","Volume.2",247.2,2017-06-07,14
"14","X6",2017-06-26,2017-08-07,"SA609","Volume.2",264,2017-07-27,10
"15","X7",2017-11-23,2018-01-11,"SA609","Volume.2",244,2017-12-31,7
"16","X8",2018-01-11,2018-02-07,"SA609","Volume.2",274.5,2018-01-29,4
"17","X9",2018-02-07,2018-03-08,"SA609","Volume.2",160.8,2018-02-26,5
"18","X10",2018-03-08,2018-04-04,"SA609","Volume.2",257.8,2018-03-29,7
"19","X2",2013-11-06,2014-01-16,"SA609","Volume.3",454.3,2014-01-07,20
"20","X3",2016-12-21,2017-03-07,"SA609","Volume.3",433.4,2017-02-27,18
"21","X4",2017-03-07,2017-05-05,"SA609","Volume.3",214.3,2017-04-19,15
"22","X5",2017-05-05,2017-06-26,"SA609","Volume.3",387,2017-06-14,21
"23","X6",2017-06-26,2017-08-07,"SA609","Volume.3",422,2017-07-31,14
"24","X7",2017-11-23,2018-01-11,"SA609","Volume.3",438,2018-01-02,9
"25","X8",2018-01-11,2018-02-07,"SA609","Volume.3",480.2,2018-02-02,8
"26","X9",2018-02-07,2018-03-08,"SA609","Volume.3",396.5,2018-03-01,8
"27","X10",2018-03-08,2018-04-04,"SA609","Volume.3",498.2,2018-03-30,8
"28","X2",2013-11-06,2014-01-16,"SA609","Volume.4",836.2,2014-01-14,27
"29","X3",2016-12-21,2017-03-07,"SA609","Volume.4",753.7,2017-03-02,21
"30","X4",2017-03-07,2017-05-05,"SA609","Volume.4",355.4,2017-04-23,19
"31","X5",2017-05-05,2017-06-26,"SA609","Volume.4",667.2,2017-06-22,29
"32","X6",2017-06-26,2017-08-07,"SA609","Volume.4",790,2017-08-03,17
"33","X7",2017-11-23,2018-01-11,"SA609","Volume.4",748.5,2018-01-05,12
"34","X8",2018-01-11,2018-02-07,"SA609","Volume.4",814.1,2018-02-05,11
"35","X9",2018-02-07,2018-03-08,"SA609","Volume.4",723.64,2018-03-05,12
"36","X10",2018-03-08,2018-04-04,"SA609","Volume.4",822.6,2018-04-02,11
"37","X2",2013-11-06,2014-01-16,"SA609","Volume.5",1442,2014-01-16,29
"38","X3",2016-12-21,2017-03-07,"SA609","Volume.5",1633.4,2017-03-07,26
"39","X4",2017-03-07,2017-05-05,"SA609","Volume.5",534.9,2017-04-27,23
"40","X5",2017-05-05,2017-06-26,"SA609","Volume.5",1366.4,2017-06-26,33
"41","X6",2017-06-26,2017-08-07,"SA609","Volume.5",1600,2017-08-07,21
"42","X7",2017-11-23,2018-01-11,"SA609","Volume.5",1287.6,2018-01-11,18
"43","X8",2018-01-11,2018-02-07,"SA609","Volume.5",1054.4,2018-02-07,13
"44","X9",2018-02-07,2018-03-08,"SA609","Volume.5",1367.2,2018-03-08,15
