cell_id	clone_id
SA921-A90554A-R03-C08	C
SA921-A90554A-R03-C09	C
SA921-A90554A-R03-C13	A
SA921-A90554A-R03-C14	A
SA921-A90554A-R03-C16	C
SA921-A90554A-R03-C19	A
SA921-A90554A-R03-C20	A
SA921-A90554A-R03-C21	A
SA921-A90554A-R03-C22	B
SA921-A90554A-R03-C24	A
SA921-A90554A-R03-C26	A
SA921-A90554A-R03-C27	A
SA921-A90554A-R03-C28	A
SA921-A90554A-R03-C30	A
SA921-A90554A-R03-C34	C
SA921-A90554A-R03-C35	C
SA921-A90554A-R03-C36	A
SA921-A90554A-R03-C42	C
SA921-A90554A-R03-C44	C
SA921-A90554A-R03-C45	B
SA921-A90554A-R03-C49	A
SA921-A90554A-R03-C50	B
SA921-A90554A-R03-C51	A
SA921-A90554A-R03-C56	A
SA921-A90554A-R03-C57	B
SA921-A90554A-R03-C58	C
SA921-A90554A-R03-C59	A
SA921-A90554A-R03-C64	C
SA921-A90554A-R03-C65	C
SA921-A90554A-R03-C66	A
SA921-A90554A-R03-C67	A
SA921-A90554A-R03-C68	A
SA921-A90554A-R03-C70	B
SA921-A90554A-R04-C07	A
SA921-A90554A-R04-C08	A
SA921-A90554A-R04-C10	C
SA921-A90554A-R04-C11	A
SA921-A90554A-R04-C12	A
SA921-A90554A-R04-C13	C
SA921-A90554A-R04-C14	A
SA921-A90554A-R04-C16	A
SA921-A90554A-R04-C20	A
SA921-A90554A-R04-C21	C
SA921-A90554A-R04-C22	A
SA921-A90554A-R04-C24	C
SA921-A90554A-R04-C25	B
SA921-A90554A-R04-C29	C
SA921-A90554A-R04-C30	C
SA921-A90554A-R04-C33	C
SA921-A90554A-R04-C34	A
SA921-A90554A-R04-C37	B
SA921-A90554A-R04-C40	A
SA921-A90554A-R04-C41	C
SA921-A90554A-R04-C43	C
SA921-A90554A-R04-C44	C
SA921-A90554A-R04-C45	C
SA921-A90554A-R04-C48	C
SA921-A90554A-R04-C49	A
SA921-A90554A-R04-C51	C
SA921-A90554A-R04-C52	C
SA921-A90554A-R04-C53	C
SA921-A90554A-R04-C56	A
SA921-A90554A-R04-C57	C
SA921-A90554A-R04-C59	B
SA921-A90554A-R04-C60	A
SA921-A90554A-R04-C64	A
SA921-A90554A-R04-C65	A
