cell_id	clone_id	dataset_id
SA1056-A95635A-R04-C10	B	SA1056
SA1056-A95635A-R04-C38	A	SA1056
SA1056-A95635A-R04-C39	A	SA1056
SA1056-A95635A-R04-C40	B	SA1056
SA1056-A95635A-R04-C44	B	SA1056
SA1056-A95635A-R04-C45	B	SA1056
SA1056-A95635A-R04-C46	B	SA1056
SA1056-A95635A-R04-C47	B	SA1056
SA1056-A95635A-R04-C48	A	SA1056
SA1056-A95635A-R04-C52	B	SA1056
SA1056-A95635A-R04-C53	B	SA1056
SA1056-A95635A-R04-C54	B	SA1056
SA1056-A95635A-R04-C56	A	SA1056
SA1056-A95635A-R04-C58	B	SA1056
SA1056-A95635A-R04-C59	B	SA1056
SA1056-A95635A-R04-C62	A	SA1056
SA1056-A95635A-R04-C64	B	SA1056
SA1056-A95635A-R04-C65	B	SA1056
SA1056-A95635A-R04-C66	A	SA1056
SA1056-A95635A-R04-C68	B	SA1056
SA1056-A95635A-R05-C08	B	SA1056
SA1056-A95635A-R05-C10	B	SA1056
SA1056-A95635A-R05-C11	B	SA1056
SA1056-A95635A-R05-C15	A	SA1056
SA1056-A95635A-R05-C16	B	SA1056
SA1056-A95635A-R05-C17	B	SA1056
SA1056-A95635A-R05-C20	A	SA1056
SA1056-A95635A-R05-C21	B	SA1056
SA1056-A95635A-R05-C37	A	SA1056
SA1056-A95635A-R05-C38	B	SA1056
SA1056-A95635A-R05-C41	B	SA1056
SA1056-A95635A-R05-C45	B	SA1056
SA1056-A95635A-R05-C46	B	SA1056
SA1056-A95635A-R05-C47	A	SA1056
SA1056-A95635A-R05-C48	B	SA1056
SA1056-A95635A-R05-C49	B	SA1056
SA1056-A95635A-R05-C51	A	SA1056
SA1056-A95635A-R05-C52	B	SA1056
SA1056-A95635A-R05-C58	A	SA1056
SA1056-A95635A-R05-C62	B	SA1056
SA1056-A95635A-R05-C63	A	SA1056
SA1056-A95635A-R05-C67	B	SA1056
SA1056-A95635A-R05-C68	B	SA1056
SA1056-A95635A-R06-C29	B	SA1056
SA1056-A95635A-R06-C38	B	SA1056
SA1056-A95635A-R06-C41	A	SA1056
SA1056-A95635A-R06-C43	A	SA1056
SA1056-A95635A-R06-C45	A	SA1056
SA1056-A95635A-R06-C46	A	SA1056
SA1056-A95635A-R06-C47	A	SA1056
SA1056-A95635A-R06-C48	B	SA1056
SA1056-A95635A-R06-C49	A	SA1056
SA1056-A95635A-R06-C50	B	SA1056
SA1056-A95635A-R06-C54	A	SA1056
SA1056-A95635A-R06-C55	B	SA1056
SA1056-A95635A-R06-C57	B	SA1056
SA1056-A95635A-R06-C58	B	SA1056
SA1056-A95635A-R06-C60	B	SA1056
SA1056-A95635A-R06-C61	A	SA1056
