cell_id	clone_id	dataset_id
SA906-A96175C-R48-C11	E	SA906a
SA906-A96175C-R48-C13	K	SA906a
SA906-A96175C-R48-C17	G	SA906a
SA906-A96175C-R48-C18	F	SA906a
SA906-A96175C-R48-C21	D	SA906a
SA906-A96175C-R48-C22	L	SA906a
SA906-A96175C-R48-C24	C	SA906a
SA906-A96175C-R48-C25	D	SA906a
SA906-A96175C-R48-C29	J	SA906a
SA906-A96175C-R48-C35	G	SA906a
SA906-A96175C-R48-C36	G	SA906a
SA906-A96175C-R48-C37	G	SA906a
SA906-A96175C-R48-C38	G	SA906a
SA906-A96175C-R48-C39	F	SA906a
SA906-A96175C-R48-C43	I	SA906a
SA906-A96175C-R48-C50	B	SA906a
SA906-A96175C-R48-C52	C	SA906a
SA906-A96175C-R48-C56	K	SA906a
SA906-A96175C-R48-C59	C	SA906a
SA906-A96175C-R48-C60	G	SA906a
SA906-A96175C-R48-C62	K	SA906a
SA906-A96175C-R48-C66	B	SA906a
SA906-A96175C-R48-C69	L	SA906a
SA906-A96175C-R48-C70	C	SA906a
SA906-A96175C-R49-C09	I	SA906a
SA906-A96175C-R49-C11	B	SA906a
SA906-A96175C-R49-C13	F	SA906a
SA906-A96175C-R49-C14	L	SA906a
SA906-A96175C-R49-C16	C	SA906a
SA906-A96175C-R49-C19	C	SA906a
SA906-A96175C-R49-C20	L	SA906a
SA906-A96175C-R49-C21	F	SA906a
SA906-A96175C-R49-C24	C	SA906a
SA906-A96175C-R49-C26	G	SA906a
SA906-A96175C-R49-C28	G	SA906a
SA906-A96175C-R49-C29	C	SA906a
SA906-A96175C-R49-C30	I	SA906a
SA906-A96175C-R49-C31	I	SA906a
SA906-A96175C-R49-C34	B	SA906a
SA906-A96175C-R49-C38	D	SA906a
SA906-A96175C-R49-C41	J	SA906a
SA906-A96175C-R49-C43	D	SA906a
SA906-A96175C-R49-C44	G	SA906a
SA906-A96175C-R49-C49	B	SA906a
SA906-A96175C-R49-C50	D	SA906a
SA906-A96175C-R49-C51	D	SA906a
SA906-A96175C-R49-C52	D	SA906a
SA906-A96175C-R49-C53	I	SA906a
SA906-A96175C-R49-C54	K	SA906a
SA906-A96175C-R49-C57	I	SA906a
SA906-A96175C-R49-C58	D	SA906a
SA906-A96175C-R49-C61	C	SA906a
SA906-A96175C-R49-C62	G	SA906a
SA906-A96175C-R49-C63	K	SA906a
SA906-A96175C-R49-C64	L	SA906a
SA906-A96175C-R49-C67	G	SA906a
SA906-A96175C-R49-C69	J	SA906a
SA906-A96175C-R49-C70	I	SA906a
SA906-A96175C-R50-C07	D	SA906a
SA906-A96175C-R50-C08	G	SA906a
SA906-A96175C-R50-C09	L	SA906a
SA906-A96175C-R50-C10	L	SA906a
SA906-A96175C-R50-C11	A	SA906a
SA906-A96175C-R50-C13	C	SA906a
SA906-A96175C-R50-C16	J	SA906a
SA906-A96175C-R50-C17	J	SA906a
SA906-A96175C-R50-C19	G	SA906a
SA906-A96175C-R50-C23	G	SA906a
SA906-A96175C-R50-C25	F	SA906a
SA906-A96175C-R50-C26	I	SA906a
SA906-A96175C-R50-C27	D	SA906a
SA906-A96175C-R50-C29	G	SA906a
SA906-A96175C-R50-C31	G	SA906a
SA906-A96175C-R50-C33	J	SA906a
SA906-A96175C-R50-C34	D	SA906a
SA906-A96175C-R50-C35	A	SA906a
SA906-A96175C-R50-C38	B	SA906a
SA906-A96175C-R50-C40	L	SA906a
SA906-A96175C-R50-C41	E	SA906a
SA906-A96175C-R50-C44	B	SA906a
SA906-A96175C-R50-C45	L	SA906a
SA906-A96175C-R50-C47	C	SA906a
SA906-A96175C-R50-C49	G	SA906a
SA906-A96175C-R50-C50	K	SA906a
SA906-A96175C-R50-C51	G	SA906a
SA906-A96175C-R50-C52	D	SA906a
SA906-A96175C-R50-C53	B	SA906a
SA906-A96175C-R50-C56	J	SA906a
SA906-A96175C-R50-C57	G	SA906a
