cell_id	clone_id	dataset_id
SA906-A96211C-R50-C07	K	SA906b
SA906-A96211C-R50-C08	D	SA906b
SA906-A96211C-R50-C11	I	SA906b
SA906-A96211C-R50-C12	D	SA906b
SA906-A96211C-R50-C13	D	SA906b
SA906-A96211C-R50-C15	B	SA906b
SA906-A96211C-R50-C16	D	SA906b
SA906-A96211C-R50-C17	K	SA906b
SA906-A96211C-R50-C18	I	SA906b
SA906-A96211C-R50-C19	I	SA906b
SA906-A96211C-R50-C20	D	SA906b
SA906-A96211C-R50-C22	I	SA906b
SA906-A96211C-R50-C23	B	SA906b
SA906-A96211C-R50-C24	D	SA906b
SA906-A96211C-R50-C30	D	SA906b
SA906-A96211C-R50-C31	F	SA906b
SA906-A96211C-R50-C32	E	SA906b
SA906-A96211C-R50-C33	D	SA906b
SA906-A96211C-R50-C35	B	SA906b
SA906-A96211C-R50-C36	G	SA906b
SA906-A96211C-R50-C39	D	SA906b
SA906-A96211C-R50-C40	G	SA906b
SA906-A96211C-R50-C45	H	SA906b
SA906-A96211C-R50-C46	B	SA906b
SA906-A96211C-R50-C47	B	SA906b
SA906-A96211C-R50-C48	I	SA906b
SA906-A96211C-R50-C50	D	SA906b
SA906-A96211C-R50-C52	D	SA906b
SA906-A96211C-R50-C54	C	SA906b
SA906-A96211C-R50-C59	B	SA906b
SA906-A96211C-R50-C64	G	SA906b
SA906-A96211C-R50-C69	A	SA906b
SA906-A96211C-R51-C07	I	SA906b
SA906-A96211C-R51-C09	D	SA906b
SA906-A96211C-R51-C10	D	SA906b
SA906-A96211C-R51-C11	E	SA906b
SA906-A96211C-R51-C12	I	SA906b
SA906-A96211C-R51-C13	I	SA906b
SA906-A96211C-R51-C14	D	SA906b
SA906-A96211C-R51-C15	I	SA906b
SA906-A96211C-R51-C16	D	SA906b
SA906-A96211C-R51-C17	D	SA906b
SA906-A96211C-R51-C18	A	SA906b
SA906-A96211C-R51-C19	B	SA906b
SA906-A96211C-R51-C20	I	SA906b
SA906-A96211C-R51-C21	B	SA906b
SA906-A96211C-R51-C22	I	SA906b
SA906-A96211C-R51-C23	C	SA906b
SA906-A96211C-R51-C24	D	SA906b
SA906-A96211C-R51-C27	C	SA906b
SA906-A96211C-R51-C29	J	SA906b
SA906-A96211C-R51-C30	C	SA906b
SA906-A96211C-R51-C31	C	SA906b
SA906-A96211C-R51-C32	D	SA906b
SA906-A96211C-R51-C34	I	SA906b
SA906-A96211C-R51-C35	D	SA906b
SA906-A96211C-R51-C36	D	SA906b
