,isabl_patient_id,isabl_sample_id,isabl_aliquot_id,isabl_pk,isabl_application,isabl_version,technique_category,technique_method,technique_name,sample_category,num_targets,version,result_type,result_filepath
0,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metrics,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/A96175A_metrics.csv.gz
1,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/metadata.yaml
2,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,qc_report,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/A96175A_QC_report.html
3,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segs_fail,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/A96175A_segs_fail.tar.gz
4,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,segs_pass,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/A96175A_segs_pass.tar.gz
5,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/head_job.err
6,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/head_job.log
7,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/head_job.sh
8,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96175A_L1,8803,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,heatmap_by_ec_filtered,/juno/work/shah/isabl_data_lake/analyses/88/03/8803/results/A96175A_heatmap_by_ec_filtered.pdf
9,SA604,SA604X7XB02089,SA604_SA604X7XB02089_A96212B_L1,8804,SCDNA-ANNOTATION,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,v0.6.41,metrics,/juno/work/shah/isabl_data_lake/analyses/88/04/8804/results/A96212B_metrics.csv.gz
