,isabl_patient_id,isabl_sample_id,isabl_aliquot_id,isabl_pk,isabl_application,isabl_version,technique_category,technique_method,technique_name,sample_category,num_targets,version,result_type,result_filepath
0,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_bias.tar.gz
1,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_segs.tar.gz
2,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_reads.csv.gz
3,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_params.csv.gz
4,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/metadata.yaml
5,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_segments.csv.gz
6,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/head_job.err
7,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/head_job.log
8,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_hmmcopy_data.tar.gz
9,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_igv_segments.seg
10,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_heatmap_by_ec.pdf
11,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/head_job.sh
12,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_kernel_density.pdf
13,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_hmmcopy_metrics.csv.gz
14,SA532,SA532X3XB00210,SA532_SA532X3XB00210_A96179B_L1,8661,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_pdf,/juno/work/shah/isabl_data_lake/analyses/86/61/8661/results/A96179B_hmmcopy_metrics.pdf
15,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,bias,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_bias.tar.gz
16,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segs,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_segs.tar.gz
17,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,reads,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_reads.csv.gz
18,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,params,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_params.csv.gz
19,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,metadata,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/metadata.yaml
20,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,segments,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_segments.csv.gz
21,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_err,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.err
22,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_log,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.log
23,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_data,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_hmmcopy_data.tar.gz
24,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,igv_segments,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_igv_segments.seg
25,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,heatmap_by_ec,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_heatmap_by_ec.pdf
26,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,command_script,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/head_job.sh
27,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,kernel_density,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_kernel_density.pdf
28,SA532,SA532X2XB00147,SA532_SA532X2XB00147_A96165A_L2,8662,SCDNA-HMMCOPY,0.0.1,DNA,DLP,Single Cell DNA Seq,TUMOR,1,0.6.41,hmmcopy_metrics_csv,/juno/work/shah/isabl_data_lake/analyses/86/62/8662/results/A96165A_hmmcopy_metrics.csv.gz
